対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
TS5,鉱石1+パワー1,科学,9,9,9,9,9,9,9,9,9,9,9,9,14,11,9,9,11,9
TS6,知識1+クレ1,惑星,11,14,11,6,11,11,11,11,11,11,11,11,11,11,11,11,16,11
TS6,知識1+クレ1,航法,11,14,11,8,11,11,11,11,11,11,11,11,11,11,11,11,11,16
TS6,知識1+クレ1,人工知能,11,11,11,11,11,11,11,11,11,11,14,14,11,11,11,11,14,11
TS6,知識1+クレ1,ガイア,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11
TS6,知識1+クレ1,経済,11,11,11,11,11,11,11,11,11,11,14,14,16,11,11,11,11,14
TS6,知識1+クレ1,科学,11,16,11,11,11,11,11,11,11,11,16,16,16,11,11,11,14,11
TS7,Ga3VP,惑星,12,8,8,16,8,8,8,8,8,10,8,8,8,8,8,4,4,8
TS7,Ga3VP,航法,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8,6,8,4
TS7,Ga3VP,人工知能,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8
TS7,Ga3VP,ガイア,16,8,8,16,8,8,8,8,8,12,8,8,8,16,8,8,8,8
TS7,Ga3VP,経済,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6
TS7,Ga3VP,科学,12,8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,6,8
TS8,クレ4,惑星,10,10,10,10,10,12,15,10,10,10,10,10,10,10,10,10,10,10
TS8,クレ4,航法,10,10,10,10,15,15,10,10,10,10,10,10,10,10,10,10,10,20
TS8,クレ4,人工知能,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TS8,クレ4,ガイア,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TS8,クレ4,経済,10,10,10,10,15,12,20,10,10,10,10,10,15,10,10,10,10,15
TS8,クレ4,科学,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10
TS9,パワー4,惑星,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7
TS9,パワー4,航法,7,7,7,7,14,7,7,7,7,7,7,7,7,7,10,7,7,7
TS9,パワー4,人工知能,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7
TS9,パワー4,ガイア,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7
TS9,パワー4,経済,7,7,7,7,14,7,7,7,7,7,7,9,14,7,14,7,7,7
TS9,パワー4,科学,7,7,7,7,7,7,7,7,7,7,7,10,14,9,7,7,7,7
