対応表,タイル,ラウンド,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
RS06,ガイア惑星に鉱山建設 +4VP,R1,4,4,8,12,4,4,4,4,4,4,4,4,4,4,8,4,4,4
RS06,ガイア惑星に鉱山建設 +4VP,R2,12,8,8,12,8,8,8,12,8,12,8,8,8,4,8,4,4,4
RS06,ガイア惑星に鉱山建設 +4VP,R3,16,8,8,16,8,8,8,16,8,16,8,8,8,8,16,16,4,4
RS06,ガイア惑星に鉱山建設 +4VP,R4,16,8,12,16,8,8,8,16,8,16,8,8,8,8,16,16,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R5,16,8,12,16,8,8,8,16,8,16,8,8,8,8,16,16,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R6,12,8,12,12,8,8,8,12,8,12,8,8,8,12,16,16,8,8
RS07,研究1レベル +2VP,R1,4,6,8,4,8,8,8,8,8,8,6,8,8,8,6,6,6,6
RS07,研究1レベル +2VP,R2,2,6,2,2,2,2,2,2,5,2,6,4,2,2,2,2,2,2
RS07,研究1レベル +2VP,R3,2,9,4,4,4,4,4,4,5,2,6,2,2,8,4,4,4,4
RS07,研究1レベル +2VP,R4,2,9,4,4,4,4,4,4,5,2,9,6,6,8,4,4,4,4
RS07,研究1レベル +2VP,R5,4,12,6,6,6,6,6,6,8,8,12,6,6,8,8,8,8,8
RS07,研究1レベル +2VP,R6,8,12,8,8,8,8,8,8,10,8,12,8,8,8,8,8,8,8
RS08,同盟タイル獲得 +5VP,R1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RS08,同盟タイル獲得 +5VP,R2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0
RS08,同盟タイル獲得 +5VP,R3,4,4,5,5,4,5,4,5,4,4,4,5,4,4,5,4,4,4
RS08,同盟タイル獲得 +5VP,R4,8,8,10,10,8,10,8,10,8,8,8,10,8,8,10,8,8,8
RS08,同盟タイル獲得 +5VP,R5,11,11,15,15,11,15,11,15,11,11,11,15,11,11,15,11,11,11
RS08,同盟タイル獲得 +5VP,R6,15,15,20,20,15,20,15,20,15,15,15,20,15,15,20,15,15,15
RS09,惑星改造1段階 +2VP,R1,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,3,5
RS09,惑星改造1段階 +2VP,R2,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,4,3,5
RS09,惑星改造1段階 +2VP,R3,3,3,3,3,3,3,3,3,10,3,3,3,3,3,3,4,3,8
RS09,惑星改造1段階 +2VP,R4,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,8,6,10
RS09,惑星改造1段階 +2VP,R5,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,8,6,10
RS09,惑星改造1段階 +2VP,R6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,8,6,10
RS10,未入植の宙域で鉱山建設 +3VP,R1,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS10,未入植の宙域で鉱山建設 +3VP,R2,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS10,未入植の宙域で鉱山建設 +3VP,R3,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS10,未入植の宙域で鉱山建設 +3VP,R4,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS10,未入植の宙域で鉱山建設 +3VP,R5,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS10,未入植の宙域で鉱山建設 +3VP,R6,6,9,9,6,9,9,6,6,6,3,6,6,6,6,6,9,6,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R1,6,6,6,6,6,6,6,6,12,6,6,6,6,6,6,6,9,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R5,6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,9,9
RS11,未入植の種類の惑星に鉱山建設 +3VP,R6,6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,9,9
RS12,研究所建設 +4VP,R1,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,4,4,4
RS12,研究所建設 +4VP,R2,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4
RS12,研究所建設 +4VP,R3,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,4,4,4
RS12,研究所建設 +4VP,R4,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,4,4,4
RS12,研究所建設 +4VP,R5,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,4,4,4
RS12,研究所建設 +4VP,R6,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,4,4,4
