対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人
AT03,アクション：QIC1＋クレジット5,人工知能,16,24,32,13,29,24,35,38,32,38,24,24,24,32
AT03,アクション：QIC1＋クレジット5,ガイア,32,16,16,26,10,16,24,19,16,38,16,24,8,32
AT03,アクション：QIC1＋クレジット5,経済,16,32,32,20,38,32,47,38,32,38,32,32,32,32
AT03,アクション：QIC1＋クレジット5,科学,16,24,16,13,19,16,24,19,24,19,32,24,24,24
AT07,アクション：鉱石3,惑星,14,21,28,17,28,28,34,34,28,14,28,21,28,21
AT07,アクション：鉱石3,航法,28,28,28,34,28,28,34,26,28,0,28,28,28,28
AT07,アクション：鉱石3,人工知能,28,28,28,34,28,28,34,34,28,28,28,28,28,28
AT07,アクション：鉱石3,ガイア,28,14,21,34,7,21,17,34,14,28,14,28,7,28
AT07,アクション：鉱石3,経済,21,28,28,26,28,28,34,34,28,28,28,28,28,28
AT07,アクション：鉱石3,科学,14,21,14,17,14,14,17,17,21,14,28,21,21,28
AT13,アクション：知識3,惑星,11,20,22,11,22,22,22,22,22,11,27,20,27,17
AT13,アクション：知識3,航法,22,27,22,22,22,22,22,17,22,0,27,27,27,22
AT13,アクション：知識3,人工知能,22,27,22,22,22,22,22,22,22,22,27,27,27,22
AT13,アクション：知識3,ガイア,22,14,17,22,6,17,11,22,11,22,14,27,7,22
AT13,アクション：知識3,経済,17,27,22,17,22,22,22,22,22,22,27,27,27,22
AT13,アクション：知識3,科学,17,20,17,17,17,17,17,17,17,17,27,20,20,17
AT01,パス時：同盟タイル×3VP,惑星,11,16,30,15,21,30,21,36,27,11,27,20,21,23
AT01,パス時：同盟タイル×3VP,航法,21,21,30,30,21,30,21,27,27,0,27,27,21,30
AT01,パス時：同盟タイル×3VP,人工知能,16,16,23,15,16,23,16,27,20,16,20,20,16,23
AT01,パス時：同盟タイル×3VP,ガイア,21,11,23,30,5,23,11,36,14,21,14,27,5,30
AT01,パス時：同盟タイル×3VP,経済,16,21,30,23,21,30,21,36,27,21,27,27,21,30
AT01,パス時：同盟タイル×3VP,科学,11,11,15,15,11,15,11,18,14,11,14,14,11,15
AT05,パス時：研究所×3VP,惑星,12,18,24,9,24,24,24,24,24,12,24,25,24,18
AT05,パス時：研究所×3VP,航法,18,18,18,18,18,18,18,18,18,0,18,33,18,18
AT05,パス時：研究所×3VP,人工知能,18,18,18,9,18,18,18,18,18,18,18,25,18,18
AT05,パス時：研究所×3VP,ガイア,24,12,18,18,6,18,12,24,12,24,12,33,6,24
AT05,パス時：研究所×3VP,経済,18,24,24,14,24,24,24,24,24,24,24,33,24,24
AT05,パス時：研究所×3VP,科学,12,12,12,9,12,12,12,12,12,12,12,17,12,12
AT15,パス時：惑星種類×1VP,惑星,7,18,18,14,18,18,18,18,26,18,18,18,18,14
AT15,パス時：惑星種類×1VP,航法,7,9,9,9,9,9,9,9,13,0,9,9,9,9
AT15,パス時：惑星種類×1VP,人工知能,7,9,9,9,9,9,9,9,13,9,9,9,9,9
AT15,パス時：惑星種類×1VP,ガイア,11,9,9,14,5,9,9,14,13,14,9,9,5,9
AT15,パス時：惑星種類×1VP,経済,7,14,14,14,14,14,14,14,20,14,14,14,14,14
AT15,パス時：惑星種類×1VP,科学,7,14,9,9,9,9,9,9,20,9,14,14,14,14
AT02,研究を進めるたび＋2VP,惑星,9,20,18,8,18,18,18,18,28,9,24,14,28,18
AT02,研究を進めるたび＋2VP,航法,18,26,18,15,18,18,18,14,28,0,24,18,28,24
AT02,研究を進めるたび＋2VP,人工知能,14,20,14,11,14,14,14,14,21,14,18,14,21,18
AT02,研究を進めるたび＋2VP,ガイア,18,13,9,15,5,9,5,14,14,18,12,14,7,18
AT02,研究を進めるたび＋2VP,経済,14,26,18,11,18,18,18,18,28,18,24,18,28,24
AT02,研究を進めるたび＋2VP,科学,18,26,18,15,18,18,18,18,28,18,24,18,28,24
AT11,交易所を建設するたび＋3VP,惑星,6,9,12,6,12,12,15,12,12,6,12,9,12,9
AT11,交易所を建設するたび＋3VP,航法,12,12,12,12,12,12,15,9,12,0,12,12,12,12
AT11,交易所を建設するたび＋3VP,人工知能,12,12,12,12,12,12,15,12,12,12,12,12,12,12
AT11,交易所を建設するたび＋3VP,ガイア,12,6,9,12,3,9,8,12,6,12,6,12,3,12
AT11,交易所を建設するたび＋3VP,経済,9,12,12,9,12,12,15,12,12,12,12,12,12,12
AT11,交易所を建設するたび＋3VP,科学,6,9,6,6,6,6,8,6,9,6,12,9,9,12
AT14,鉱山を建設するたび＋3VP,惑星,9,14,18,9,18,18,18,24,18,9,24,14,18,14
AT14,鉱山を建設するたび＋3VP,航法,18,18,18,18,18,18,18,18,18,0,24,18,18,18
AT14,鉱山を建設するたび＋3VP,人工知能,18,18,18,18,18,18,18,24,18,18,24,18,18,18
AT14,鉱山を建設するたび＋3VP,ガイア,18,9,14,18,5,14,9,24,9,18,12,18,5,18
AT14,鉱山を建設するたび＋3VP,経済,14,18,18,14,18,18,18,24,18,18,24,18,18,18
AT14,鉱山を建設するたび＋3VP,科学,9,14,9,9,9,9,9,12,14,9,24,14,14,18
