対応表,タイル,船,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
FEDG4,金枠同盟：3段階無料改造＋鉱山建設,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG4,金枠同盟：3段階無料改造＋鉱山建設,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG4,金枠同盟：3段階無料改造＋鉱山建設,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG5,金枠同盟：4VP＋鉱石2＋QIC1,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG5,金枠同盟：4VP＋鉱石2＋QIC1,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG5,金枠同盟：4VP＋鉱石2＋QIC1,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG5,金枠同盟：4VP＋鉱石2＋QIC1,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG6,金枠同盟：4VP＋知識4,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG6,金枠同盟：4VP＋知識4,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG6,金枠同盟：4VP＋知識4,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG6,金枠同盟：4VP＋知識4,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG7,金枠同盟：7VP＋パワートークン2,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG7,金枠同盟：7VP＋パワートークン2,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG7,金枠同盟：7VP＋パワートークン2,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG7,金枠同盟：7VP＋パワートークン2,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG8,金枠同盟：8VP＋クレジット8,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG8,金枠同盟：8VP＋クレジット8,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG8,金枠同盟：8VP＋クレジット8,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG8,金枠同盟：8VP＋クレジット8,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL1,即時：2段階無料改造＋鉱山建設,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL1,即時：2段階無料改造＋鉱山建設,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL1,即時：2段階無料改造＋鉱山建設,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL3,即時：鉱石1＋知識3,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL3,即時：鉱石1＋知識3,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL3,即時：鉱石1＋知識3,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL2,基本到達距離＋1,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL2,基本到達距離＋1,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSL2,基本到達距離＋1,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
