対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
AT09,取得時：交易所×4VP,経済,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
AT09,取得時：交易所×4VP,科学,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
AT10,取得時：宙域×2VP,惑星,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT10,取得時：宙域×2VP,航法,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT10,取得時：宙域×2VP,人工知能,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT10,取得時：宙域×2VP,ガイア,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT10,取得時：宙域×2VP,経済,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT10,取得時：宙域×2VP,科学,8,10,10,8,10,10,8,8,8,6,8,8,8,8,8,8,8,12
AT12,取得時：同盟タイル×5VP,惑星,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT12,取得時：同盟タイル×5VP,航法,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT12,取得時：同盟タイル×5VP,人工知能,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT12,取得時：同盟タイル×5VP,ガイア,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT12,取得時：同盟タイル×5VP,経済,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT12,取得時：同盟タイル×5VP,科学,10,10,15,12,10,12,10,15,10,10,10,10,10,10,15,10,10,10
AT03,アクション：QIC1＋クレジット5,惑星,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT03,アクション：QIC1＋クレジット5,航法,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT03,アクション：QIC1＋クレジット5,人工知能,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT03,アクション：QIC1＋クレジット5,ガイア,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT03,アクション：QIC1＋クレジット5,経済,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT03,アクション：QIC1＋クレジット5,科学,9,9,9,7,11,9,14,11,9,11,9,9,9,9,9,9,9,9
AT07,アクション：鉱石3,惑星,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT07,アクション：鉱石3,航法,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT07,アクション：鉱石3,人工知能,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT07,アクション：鉱石3,ガイア,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT07,アクション：鉱石3,経済,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT07,アクション：鉱石3,科学,9,9,9,11,9,9,9,9,11,9,9,9,9,9,9,14,11,9
AT13,アクション：知識3,惑星,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT13,アクション：知識3,航法,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT13,アクション：知識3,人工知能,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT13,アクション：知識3,ガイア,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT13,アクション：知識3,経済,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT13,アクション：知識3,科学,11,14,11,11,11,11,11,11,11,11,14,14,14,11,11,11,14,11
AT01,パス時：同盟タイル×3VP,惑星,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT01,パス時：同盟タイル×3VP,航法,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT01,パス時：同盟タイル×3VP,人工知能,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT01,パス時：同盟タイル×3VP,ガイア,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT01,パス時：同盟タイル×3VP,経済,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT01,パス時：同盟タイル×3VP,科学,16,16,24,20,16,20,16,24,16,16,16,16,16,16,24,16,16,16
AT05,パス時：研究所×3VP,惑星,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT05,パス時：研究所×3VP,航法,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT05,パス時：研究所×3VP,人工知能,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT05,パス時：研究所×3VP,ガイア,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT05,パス時：研究所×3VP,経済,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT05,パス時：研究所×3VP,科学,18,22,18,14,18,18,18,18,18,18,27,22,18,18,18,18,18,18
AT15,パス時：惑星種類×1VP,惑星,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT15,パス時：惑星種類×1VP,航法,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT15,パス時：惑星種類×1VP,人工知能,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT15,パス時：惑星種類×1VP,ガイア,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT15,パス時：惑星種類×1VP,経済,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT15,パス時：惑星種類×1VP,科学,15,15,19,19,15,15,15,15,22,15,15,15,15,15,15,22,19,22
AT02,研究を進めるたび＋2VP,惑星,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT02,研究を進めるたび＋2VP,航法,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT02,研究を進めるたび＋2VP,人工知能,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT02,研究を進めるたび＋2VP,ガイア,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT02,研究を進めるたび＋2VP,経済,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT02,研究を進めるたび＋2VP,科学,16,20,16,12,16,16,16,16,16,16,24,24,20,24,16,16,16,16
AT11,交易所を建設するたび＋3VP,惑星,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT11,交易所を建設するたび＋3VP,航法,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT11,交易所を建設するたび＋3VP,人工知能,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT11,交易所を建設するたび＋3VP,ガイア,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT11,交易所を建設するたび＋3VP,経済,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT11,交易所を建設するたび＋3VP,科学,6,6,6,6,6,6,8,6,6,6,9,6,8,6,6,6,6,6
AT14,鉱山を建設するたび＋3VP,惑星,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT14,鉱山を建設するたび＋3VP,航法,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT14,鉱山を建設するたび＋3VP,人工知能,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT14,鉱山を建設するたび＋3VP,ガイア,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT14,鉱山を建設するたび＋3VP,経済,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT14,鉱山を建設するたび＋3VP,科学,9,14,11,9,9,9,9,9,11,9,9,9,9,9,9,14,9,14
AT16,取得時：首府・学院×6VP,惑星,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT16,取得時：首府・学院×6VP,航法,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT16,取得時：首府・学院×6VP,人工知能,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT16,取得時：首府・学院×6VP,ガイア,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT16,取得時：首府・学院×6VP,経済,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT16,取得時：首府・学院×6VP,科学,12,12,12,12,12,15,12,12,12,12,12,15,15,15,12,12,18,12
AT17,取得時：深宇宙宙域×4VP,惑星,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT17,取得時：深宇宙宙域×4VP,航法,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT17,取得時：深宇宙宙域×4VP,人工知能,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT17,取得時：深宇宙宙域×4VP,ガイア,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT17,取得時：深宇宙宙域×4VP,経済,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT17,取得時：深宇宙宙域×4VP,科学,8,10,10,8,10,8,8,8,8,4,8,8,8,8,8,8,8,12
AT18,パス時：小惑星×2VP,惑星,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT18,パス時：小惑星×2VP,航法,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT18,パス時：小惑星×2VP,人工知能,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT18,パス時：小惑星×2VP,ガイア,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT18,パス時：小惑星×2VP,経済,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT18,パス時：小惑星×2VP,科学,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,18,18
AT21,パス時：深宇宙宙域×2VP,惑星,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT21,パス時：深宇宙宙域×2VP,航法,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT21,パス時：深宇宙宙域×2VP,人工知能,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT21,パス時：深宇宙宙域×2VP,ガイア,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT21,パス時：深宇宙宙域×2VP,経済,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT21,パス時：深宇宙宙域×2VP,科学,12,15,15,12,15,12,12,12,12,6,12,12,12,12,12,12,12,18
AT19,惑星改造1段階ごと＋2VP,惑星,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT19,惑星改造1段階ごと＋2VP,航法,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT19,惑星改造1段階ごと＋2VP,人工知能,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT19,惑星改造1段階ごと＋2VP,ガイア,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT19,惑星改造1段階ごと＋2VP,経済,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT19,惑星改造1段階ごと＋2VP,科学,12,12,15,12,12,12,12,12,18,12,12,12,12,12,15,18,15,9
AT20,QICアクションのたび＋4VP,惑星,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
AT20,QICアクションのたび＋4VP,航法,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
AT20,QICアクションのたび＋4VP,人工知能,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
AT20,QICアクションのたび＋4VP,ガイア,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
AT20,QICアクションのたび＋4VP,経済,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
AT20,QICアクションのたび＋4VP,科学,12,12,12,6,12,12,15,15,12,18,12,12,12,12,12,12,12,12
